============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.21-s010_1
  Generated on:           Aug 19 2021  09:38:40 pm
  Module:                 array
  Operating conditions:   typical (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

 Instance      Module       Cell Count  Cell Area  Net Area   Total Area  Wireload     
---------------------------------------------------------------------------------------
array                              392   7344.691     0.000     7344.691    <none> (D) 
  uut8    linear_array_8_7          49    918.086     0.000      918.086    <none> (D) 
    mut16 mux_rout_63                3     76.507     0.000       76.507    <none> (D) 
    mut15 mux_rout_62                3     76.507     0.000       76.507    <none> (D) 
    mut14 mux_rout_61                3     76.507     0.000       76.507    <none> (D) 
    mut13 mux_rout_60                3     76.507     0.000       76.507    <none> (D) 
    mut12 mux_rout_59                3     76.507     0.000       76.507    <none> (D) 
    mut11 mux_rout_58                3     76.507     0.000       76.507    <none> (D) 
    mut10 mux_rout_57                3     76.507     0.000       76.507    <none> (D) 
    mut9  mux_rout_56                3     76.507     0.000       76.507    <none> (D) 
    mut8  mux_bout_63                3     36.590     0.000       36.590    <none> (D) 
    mut7  mux_bout_62                3     36.590     0.000       36.590    <none> (D) 
    mut6  mux_bout_61                3     36.590     0.000       36.590    <none> (D) 
    mut5  mux_bout_60                3     36.590     0.000       36.590    <none> (D) 
    mut4  mux_bout_59                3     36.590     0.000       36.590    <none> (D) 
    mut3  mux_bout_58                3     36.590     0.000       36.590    <none> (D) 
    mut2  mux_bout_57                3     36.590     0.000       36.590    <none> (D) 
    mut1  mux_bout_56                3     36.590     0.000       36.590    <none> (D) 
  uut7    linear_array_8_6          49    918.086     0.000      918.086    <none> (D) 
    mut16 mux_rout_55                3     76.507     0.000       76.507    <none> (D) 
    mut15 mux_rout_54                3     76.507     0.000       76.507    <none> (D) 
    mut14 mux_rout_53                3     76.507     0.000       76.507    <none> (D) 
    mut13 mux_rout_52                3     76.507     0.000       76.507    <none> (D) 
    mut12 mux_rout_51                3     76.507     0.000       76.507    <none> (D) 
    mut11 mux_rout_50                3     76.507     0.000       76.507    <none> (D) 
    mut10 mux_rout_49                3     76.507     0.000       76.507    <none> (D) 
    mut9  mux_rout_48                3     76.507     0.000       76.507    <none> (D) 
    mut8  mux_bout_55                3     36.590     0.000       36.590    <none> (D) 
    mut7  mux_bout_54                3     36.590     0.000       36.590    <none> (D) 
    mut6  mux_bout_53                3     36.590     0.000       36.590    <none> (D) 
