============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.21-s010_1
  Generated on:           Aug 19 2021  09:38:29 pm
  Module:                 array
  Operating conditions:   typical (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

                 Leakage    Dynamic     Total   
 Instance Cells Power(nW)  Power(nW)  Power(nW) 
------------------------------------------------
array       392    43.359 973436.515 973479.874 
  uut1       49     5.420  55393.015  55398.435 
    mut9      3     0.547   4450.521   4451.068 
    mut10     3     0.547   4341.166   4341.713 
    mut11     3     0.547   5905.020   5905.567 
    mut12     3     0.547   5475.665   5476.212 
    mut13     3     0.547   4796.560   4797.106 
    mut14     3     0.547   5306.251   5306.798 
    mut15     3     0.547   5532.438   5532.985 
    mut16     3     0.547   4694.935   4695.482 
    mut1      3     0.119   1404.397   1404.516 
    mut2      3     0.119   1330.035   1330.154 
    mut3      3     0.119   1781.982   1782.101 
    mut4      3     0.119    857.560    857.679 
    mut5      3     0.119   1626.586   1626.705 
    mut6      3     0.119   1686.629   1686.748 
    mut7      3     0.119   1856.422   1856.542 
    mut8      3     0.119   1546.170   1546.289 
  uut2       49     5.420  84170.279  84175.699 
    mut9      3     0.547   5791.302   5791.849 
    mut10     3     0.547   8213.992   8214.539 
    mut11     3     0.547   7917.666   7918.213 
    mut12     3     0.547   9794.874   9795.421 
    mut13     3     0.547   9814.308   9814.855 
    mut14     3     0.547   7087.319   7087.865 
    mut15     3     0.547   7976.896   7977.443 
    mut16     3     0.547   6822.597   6823.144 
    mut1      3     0.119   1061.470   1061.589 
    mut2      3     0.119   1402.838   1402.957 
    mut3      3     0.119   1756.138   1756.257 
    mut4      3     0.119   1785.230   1785.349 
    mut5      3     0.119   1836.080   1836.199 
    mut6      3     0.119   2201.935   2202.054 
    mut7      3     0.119   1868.198   1868.317 
    mut8      3     0.119   2303.447   2303.566 
  uut3       49     5.420 107770.114 107775.534 
    mut9      3     0.547   6139.244   6139.790 
    mut10     3     0.547   8793.770   8794.317 
    mut11     3     0.547  11242.457  11243.004 
    mut12     3     0.547  11359.302  11359.849 
    mut13     3     0.547  12754.484  12755.031 
    mut14     3     0.547  11622.305  11622.852 
    mut15     3     0.547   9827.703   9828.250 
    mut16     3     0.547   6376.143   6376.690 
    mut1      3     0.119   1341.594   1341.713 
    mut2      3     0.119   2320.006   2320.125 
    mut3      3     0.119   2956.840   2956.959 
    mut4      3     0.119   2311.771   2311.890 
    mut5      3     0.119   3396.806   3396.925 
    mut6      3     0.119   3543.992   3544.111 
    mut7      3     0.119   4086.884   4087.003 
    mut8      3     0.119   2616.050   2616.169 
  uut4       49     5.420 116665.549 116670.969 
    mut9      3     0.547   6339.258   6339.805 
    mut10     3     0.547   8755.074   8755.621 
    mut11     3     0.547  11875.201  11875.747 
    mut12     3     0.547  13685.026  13685.573 
    mut13     3     0.547  14898.803  14899.350 
    mut14     3     0.547  12925.928  12926.474 
    mut15     3     0.547   9387.683   9388.230 
    mut16     3     0.547   8307.868   8308.415 
    mut1      3     0.119   1102.559   1102.678 
    mut2      3     0.119   2374.881   2375.000 
    mut3      3     0.119   2820.535   2820.654 
    mut4      3     0.119   2773.552   2773.671 
    mut5      3     0.119   3477.555   3477.674 
    mut6      3     0.119   3659.795   3659.914 
    mut7      3     0.119   3279.281   3279.400 
    mut8      3     0.119   3120.467   3120.586 
  uut5       49     5.420 131911.795 131917.215 
    mut9      3     0.547   6442.025   6442.572 
    mut10     3     0.547  10838.625  10839.172 
    mut11     3     0.547  11950.925  11951.471 
    mut12     3     0.547  15111.240  15111.787 
    mut13     3     0.547  16062.066  16062.613 
    mut14     3     0.547  14870.052  14870.599 
    mut15     3     0.547  11774.105  11774.652 
    mut16     3     0.547   8975.027   8975.574 
    mut1      3     0.119   1540.988   1541.107 
